workout_id,workout_name,day_number,date_scheduled,last_completed
1,Upper Body,2,2024-01-02,2024-01-07
2,Cardio,3,2024-01-03,2024-01-08
3,Full Body,4,2024-01-04,2024-01-09
4,Strength Training,5,2024-01-05,2024-01-10
5,HIIT,6,2024-01-06,2024-01-11
6,Yoga,7,2024-01-07,2024-01-12
7,Leg Day,1,2024-01-08,2024-01-13
8,Upper Body,2,2024-01-09,2024-01-14
9,Cardio,3,2024-01-10,2024-01-15
10,Full Body,4,2024-01-11,2024-01-16
11,Strength Training,5,2024-01-12,2024-01-17
12,HIIT,6,2024-01-13,2024-01-18
13,Yoga,7,2024-01-14,2024-01-19
14,Leg Day,1,2024-01-15,2024-01-20
15,Upper Body,2,2024-01-16,2024-01-21
16,Cardio,3,2024-01-17,2024-01-22
17,Full Body,4,2024-01-18,2024-01-23
18,Strength Training,5,2024-01-19,2024-01-24
19,HIIT,6,2024-01-20,2024-01-25
20,Yoga,7,2024-01-21,2024-01-26
21,Leg Day,1,2024-01-22,2024-01-27
22,Upper Body,2,2024-01-23,2024-01-28
23,Cardio,3,2024-01-24,2024-01-29
24,Full Body,4,2024-01-25,2024-01-30
25,Strength Training,5,2024-01-26,2024-01-31
26,HIIT,6,2024-01-27,2024-02-01
27,Yoga,7,2024-01-28,2024-02-02
28,Leg Day,1,2024-01-29,2024-02-03
29,Upper Body,2,2024-01-30,2024-02-04
30,Cardio,3,2024-01-31,2024-02-05
31,Full Body,4,2024-02-01,2024-02-06
32,Strength Training,5,2024-02-02,2024-02-07
33,HIIT,6,2024-02-03,2024-02-08
34,Yoga,7,2024-02-04,2024-02-09
35,Leg Day,1,2024-02-05,2024-02-10
36,Upper Body,2,2024-02-06,2024-02-11
37,Cardio,3,2024-02-07,2024-02-12
38,Full Body,4,2024-02-08,2024-02-13
39,Strength Training,5,2024-02-09,2024-02-14
40,HIIT,6,2024-02-10,2024-02-15
41,Yoga,7,2024-02-11,2024-02-16
42,Leg Day,1,2024-02-12,2024-02-17
43,Upper Body,2,2024-02-13,2024-02-18
44,Cardio,3,2024-02-14,2024-02-19
45,Full Body,4,2024-02-15,2024-02-20
46,Strength Training,5,2024-02-16,2024-02-21
47,HIIT,6,2024-02-17,2024-02-22
48,Yoga,7,2024-02-18,2024-02-23
49,Leg Day,1,2024-02-19,2024-02-24
50,Upper Body,2,2024-02-20,2024-02-25
51,Cardio,3,2024-02-21,2024-02-26
52,Full Body,4,2024-02-22,2024-02-27
53,Strength Training,5,2024-02-23,2024-02-28
54,HIIT,6,2024-02-24,2024-02-29
55,Yoga,7,2024-02-25,2024-03-01
56,Leg Day,1,2024-02-26,2024-03-02
57,Upper Body,2,2024-02-27,2024-03-03
58,Cardio,3,2024-02-28,2024-03-04
59,Full Body,4,2024-02-29,2024-03-05
